X,Y,fid,id,m_from,m_to,distance,angle,route,measure,km,icon_url
-86.9677785103646,21.0219331972373,"199","1",0,28268.1722412109,19800,82.5836194640776,"1",7234900,7234+900,./0.png
-86.9668241976172,21.0220496448266,"200","1",0,28268.1722412109,19900,82.5836194640776,"1",7235000,7235+000,./0.png
-86.9658662859272,21.0221311098056,"201","1",0,28268.1722412109,20000,86.3600159546122,"1",7235100,7235+100,./0.png
-86.9649058750366,21.0221882788276,"202","1",0,28268.1722412109,20100,86.3600159546122,"1",7235200,7235+200,./0.png
-86.9639456885271,21.0222486670967,"203","1",0,28268.1722412109,20200,86.1141227582404,"1",7235300,7235+300,./0.png
-86.9629855462602,21.0223096947379,"204","1",0,28268.1722412109,20300,86.1141227582404,"1",7235400,7235+400,./0.png
-86.9620254032209,21.0223707169581,"205","1",0,28268.1722412109,20400,86.1141227582404,"1",7235500,7235+500,./0.png
-86.9610652594095,21.0224317337573,"206","1",0,28268.1722412109,20500,86.1141227582404,"1",7235600,7235+600,./0.png
-86.9601051148264,21.0224927451355,"207","1",0,28268.1722412109,20600,86.1141227582404,"1",7235700,7235+700,./0.png
-86.9591449694718,21.0225537510926,"208","1",0,28268.1722412109,20700,86.1141227582404,"1",7235800,7235+800,./0.png
-86.9581848233461,21.0226147516284,"209","1",0,28268.1722412109,20800,86.1141227582404,"1",7235900,7235+900,./0.png
-86.9572246764495,21.0226757467431,"210","1",0,28268.1722412109,20900,86.1141227582404,"1",7236000,7236+000,./0.png
-86.9562645287824,21.0227367364365,"211","1",0,28268.1722412109,21000,86.1141227582404,"1",7236100,7236+100,./0.png
-86.955304380345,21.0227977207086,"212","1",0,28268.1722412109,21100,86.1141227582404,"1",7236200,7236+200,./0.png
-86.9543442311376,21.0228586995594,"213","1",0,28268.1722412109,21200,86.1141227582404,"1",7236300,7236+300,./0.png
-86.9533843146572,21.0229228293649,"214","1",0,28268.1722412109,21300,85.9059450288354,"1",7236400,7236+400,./0.png
